player;negotiations;battles;total
Dustin Oscar;20;1080;1120
Nop3k;1;1024;1026
burs;106;746;958
Przemek1183;61;715;837
Sboolek;43;740;826
Maarst;18;605;641
kordel11111;15;552;582
pwrw;0;574;574
Bieganie66;3;485;491
Turgon Turukano;25;435;485
ATomek1678;120;193;433
hdhfhfh;6;421;433
Nikiforek;46;303;395
Haruno Sakura;25;324;374
Karoluniu;0;331;331
Murzynek33;20;287;327
BEREK151;0;260;260
aechelonea;63;121;247
Antroch;0;240;240
maros666;0;230;230
Wlad Palownik;77;76;230
Radian The Shade;15;190;220
maniek089;0;204;204
MiśJogi;45;114;204
HallowedKris;64;75;203
Mariusz V Wielki;0;195;195
Silver Soul;0;193;193
Chruscik;54;79;187
Adam172;0;184;184
Revan the Grey;0;182;182
Jondek;1;177;179
grubymis;86;3;175
NikaNiczkaa;38;99;175
Magnum68;47;68;162
Tumi;31;85;147
Marika 782;1;116;118
Radez Cichy;0;101;101
Lawok Srogi;12;53;77
szalonylulek;0;58;58
DigBick;3;34;40
MustangCarpatia;0;0;0
paintballstyle90;0;0;0
staramałpa;0;0;0
